"Date","Value"
"2014-11-29",5902230000
"2014-11-30",5853360000
"2014-12-01",5849910000
"2014-12-02",5972840000
"2014-12-03",5912550000
"2014-12-04",5832350000
"2014-12-05",5882690000
"2014-12-06",5922150000
"2014-12-07",5936900000
"2014-12-08",5775220000
"2014-12-09",5616100000
"2014-12-10",5574040000
"2014-12-11",5715550000
"2014-12-12",5648270000
"2014-12-13",5610820000
"2014-12-14",5620390000
"2014-12-15",5642980000
"2014-12-16",5678740000
"2014-12-17",5479050000
"2014-12-18",5557280000
"2014-12-19",5457010000
"2014-12-20",5595390000
"2014-12-21",5677650000
"2014-12-22",5840280000
"2014-12-23",5793330000
"2014-12-24",5636370000
"2014-12-25",5544000000
"2014-12-26",5737360000
"2014-12-27",5491270000
"2014-12-28",5554210000
"2014-12-29",5528730000
"2014-12-30",5504330000
"2014-12-31",5544160000
"2015-01-01",5503440000
"2015-01-02",5475620000
"2015-01-03",5177700000
"2015-01-04",4595590000
"2015-01-05",4670090000
"2015-01-06",4808620000
"2015-01-07",4994840000
"2015-01-08",4942290000
"2015-01-09",4911890000
"2015-01-10",4711070000
"2015-01-11",4584480000
"2015-01-12",4625490000
"2015-01-13",3953380000
"2015-01-14",3153310000
"2015-01-15",3787750000
"2015-01-16",3660860000
"2015-01-17",3448090000
"2015-01-18",3608100000
"2015-01-19",3649080000
"2015-01-20",3668860000
"2015-01-21",3715650000
"2015-01-22",4018620000
"2015-01-23",3978310000
"2015-01-24",4207210000
"2015-01-25",4205620000
"2015-01-26",4520300000
"2015-01-27",4426600000
"2015-01-28",4105870000
"2015-01-29",3956860000
"2015-01-30",3846280000
"2015-01-31",3870980000
"2015-02-01",3770100000
"2015-02-02",3782580000
"2015-02-03",3859060000
"2015-02-04",3749630000
"2015-02-05",3668610000
"2015-02-06",3811380000
"2015-02-07",3849810000
"2015-02-08",3778160000
"2015-02-09",3725180000
"2015-02-10",3729690000
"2015-02-11",3755430000
"2015-02-12",3769540000
"2015-02-13",4020510000
"2015-02-14",4150420000
"2015-02-15",4090350000
"2015-02-16",3964690000
"2015-02-17",4061060000
"2015-02-18",3937660000
"2015-02-19",4033840000
"2015-02-20",4046590000
"2015-02-21",4062900000
"2015-02-22",3915410000
"2015-02-23",3961220000
"2015-02-24",4002400000
"2015-02-25",3993150000
"2015-02-26",3978820000
"2015-02-27",4256040000
"2015-02-28",4210410000
"2015-03-01",4105590000
"2015-03-02",4316970000
"2015-03-03",4451430000
"2015-03-04",4514930000
"2015-03-05",4358020000
"2015-03-06",4392620000
"2015-03-07",4461520000
"2015-03-08",4418690000
"2015-03-09",4610500000
"2015-03-10",4716480000
"2015-03-11",4723690000
"2015-03-12",4738790000
"2015-03-13",4630290000
"2015-03-14",4571220000
"2015-03-15",4577750000
"2015-03-16",4687290000
"2015-03-17",4620170000
"2015-03-18",4326190000
"2015-03-19",4210220000
"2015-03-20",4228020000
"2015-03-21",4219320000
"2015-03-22",4238160000
"2015-03-23",4286970000
"2015-03-24",4021860000
"2015-03-25",3964620000
"2015-03-26",4064730000
"2015-03-27",4008010000
"2015-03-28",4070700000
"2015-03-29",3946380000
"2015-03-30",3967650000
"2015-03-31",3919110000
"2015-04-01",3892220000
"2015-04-02",4051770000
"2015-04-03",4089930000
"2015-04-04",4089960000
"2015-04-05",4129710000
"2015-04-06",4114720000
